Название,Категория,"Цена без скидки, рубли",Скидка по карте АШАН,"Цена со скидкой, рубли","Масса, грамм (килограмм) / Объем, литры / Кол-во"
"Социальный товар Яйца куриные С2, 10 шт","Молоко, сыр, яйца",49.97 рублей,скидка,47.97 рублей,10 штук
"Социальный товар Яйца куриные С1, 10 шт","Молоко, сыр, яйца",59.97 рублей,без скидки,,10 штук
"Социальный товар Яйца куриные С0, 30 шт","Молоко, сыр, яйца",237.51 рублей,без скидки,,30 штук
"Масло сливочное Каждый день72,5% БЗМЖ, 200 г","Молоко, сыр, яйца",96.97 рублей,без скидки,,200 грамм
"Сырный продукт плавленый «Каждый день» Волна 40% ЗМЖ, 80 г","Молоко, сыр, яйца",10.98 рублей,без скидки,,80 грамм
"Сыр «Каждый день» Костромской, 200 г","Молоко, сыр, яйца",119.99 рублей,без скидки,,200 грамм
"Сыр полутвердый «Каждый день» Пошехонский 45% нарезка БЗМЖ, 350 г","Молоко, сыр, яйца",292.67 рублей,без скидки,,350 грамм
"Молоко «Каждый день» пастеризованное цельное БЗМЖ, 900 мл","Молоко, сыр, яйца",58.99 рублей,без скидки,,0.9 литра
"Молоко пастеризованное «Каждый день» питьевое 2,5% БЗМЖ, 900 мл","Молоко, сыр, яйца",50.99 рублей,без скидки,,0.9 литра
"Молоко питьевое «Каждый день» ультрапастеризованное 2,5% БЗМЖ, 200 мл","Молоко, сыр, яйца",22.99 рублей,без скидки,,0.2 литра
"Мякоть окорока свинины «Каждый день» охлажденная, 1 упаковка ~ 2,3 кг","Мясо, птица",839.47 рублей,скидка,687.70 рублей,2.3 кг
"Мякоть окорока свинины «Каждый день» охлажденная, 1 упаковка ~ 1,2 кг","Мясо, птица",455.98 рублей,скидка,358.80 рублей,1.2 кг
"Мякоть бедра говядины «Каждый день» охлажденная (0,8-1,2 кг), 1 упаковка ~ 1 кг","Мясо, птица",745.99 рублей,без скидки,,1 кг
"Грудка куриная «Каждый день» охлажденная (0,6 - 0,9 кг), 1 упаковка ~ 0,7 кг","Мясо, птица",174.99 рублей,без скидки,,0.7 кг
"Голень из мяса цыпленка-бройлера «Каждый день» охлажденная, (0,6 - 1,3 кг), 1 упаковка ~ 1 кг","Мясо, птица",229.99 рублей,без скидки,,1 кг
"Вода питьевая «Каждый день» негазированная для кулера, 19 л","Вода, соки, напитки",329.99 рублей,без скидки,,19 литров
"Вода питьевая «Каждый День», 8 л","Вода, соки, напитки",85.57,без скидки,,8 литров
"Вода питьевая «Каждый день» негазированная, 1,5 л","Вода, соки, напитки",22.98,без скидки,,1.5 литра
"Напиток газированный «Каждый День» Крем-сода, 1,5 л","Вода, соки, напитки",33.98,без скидки,,1.5 литра
"Напиток газированный «Каждый День» Тоник, 1,5 л","Вода, соки, напитки",43.98,без скидки,,1.5 литра
"Сок «Каждый День» Томат, 1 л","Вода, соки, напитки",51.98,без скидки,,1 литр
"Нектар «Каждый День» Яблоко, 1 л","Вода, соки, напитки",49.98,без скидки,,1 литр
"Нектар «Каждый день» Яблочный, 2 л","Вода, соки, напитки",99.96,без скидки,,2 литра
"Чай «Каждый День» Холодный зеленый, 1,5 л","Вода, соки, напитки",39.99,без скидки,,1.5 литра
